Date,Open,High,Low,Volume,Close
2023-07-24,30081.66,30093.39,28934.29,15395817395.0,29176.92
2023-07-23,29790.11,30330.64,29741.53,9220145050.0,30084.54
2023-07-22,29908.7,29991.62,29664.12,7873300598.0,29771.8
2023-07-21,29805.11,30046.0,29733.85,10972789818.0,29908.74
2023-07-20,29915.25,30195.53,29638.1,14655207121.0,29792.02
2023-07-19,29862.05,30184.18,29794.27,12128602812.0,29913.92
2023-07-18,30147.07,30233.66,29556.43,13138897269.0,29856.56
2023-07-17,30249.63,30336.4,29685.78,13240156074.0,30145.89
2023-07-16,30297.47,30437.56,30089.67,8516564470.0,30249.13
2023-07-15,30331.78,30407.78,30263.46,8011667756.0,30295.81
2023-07-14,31474.72,31582.25,29966.39,20917902660.0,30334.07
2023-07-13,30387.49,31814.52,30268.35,23686079548.0,31476.05
2023-07-12,30622.25,30959.96,30228.84,14805659717.0,30391.65
2023-07-11,30417.63,30788.31,30358.1,12151839152.0,30620.95
2023-07-10,30172.42,31026.08,29985.39,14828209155.0,30414.47
2023-07-09,30291.61,30427.59,30085.59,7903327692.0,30171.23
2023-07-08,30346.92,30374.44,30080.16,7509378699.0,30292.54
2023-07-07,29908.0,30434.64,29777.29,13384770155.0,30342.27
2023-07-06,30507.15,31460.05,29892.23,21129219509.0,29909.34
2023-07-05,30778.72,30877.33,30225.61,12481622280.0,30514.17
2023-07-04,31156.87,31325.2,30659.36,12810828427.0,30777.58
2023-07-03,30624.52,31375.61,30586.51,15271884873.0,31156.44
2023-07-02,30587.27,30766.14,30264.02,10533418042.0,30620.77
2023-07-01,30471.85,30641.29,30328.87,9086606733.0,30590.08
2023-06-30,30441.35,31256.86,29600.28,26387306197.0,30477.25
2023-06-29,30086.19,30796.25,30057.2,13180860821.0,30445.35
2023-06-28,30696.56,30703.28,29921.82,14571500779.0,30086.25
2023-06-27,30274.32,31006.79,30236.65,16428827944.0,30688.16
2023-06-26,30480.52,30636.03,29955.74,16493186997.0,30271.13
2023-06-25,30545.15,31041.27,30327.94,12703464114.0,30480.26
2023-06-24,30708.74,30804.15,30290.15,12147822496.0,30548.7
2023-06-23,29896.38,31389.54,29845.21,24115570085.0,30695.47
2023-06-22,29995.94,30496.0,29679.16,20653160491.0,29912.28
2023-06-21,28311.31,30737.33,28283.41,33346760979.0,30027.3
2023-06-20,26841.66,28388.97,26668.79,22211859147.0,28327.49
2023-06-19,26335.44,26984.61,26312.83,12826986222.0,26851.03
2023-06-18,26510.46,26675.93,26325.89,9565695129.0,26336.21
2023-06-17,26328.68,26769.39,26174.49,11090276850.0,26510.68
2023-06-16,25575.28,26463.17,25245.36,16324646965.0,26327.46
2023-06-15,25121.67,25735.31,24797.17,15837384409.0,25576.39
2023-06-14,25920.26,26041.8,24902.15,14265717766.0,25124.68
2023-06-13,25902.94,26376.35,25728.37,14143474486.0,25918.73
2023-06-12,25934.29,26087.92,25675.2,11677889997.0,25902.5
2023-06-11,25854.03,26203.44,25668.99,10732609603.0,25940.17
2023-06-10,26481.76,26531.04,25501.84,19872933189.0,25851.24
2023-06-09,26505.92,26770.29,26339.31,11015551640.0,26480.38
2023-06-08,26347.65,26797.51,26246.66,11904824295.0,26508.22
2023-06-07,27235.65,27332.18,26146.99,19530045082.0,26346.0
2023-06-06,25732.11,27313.82,25434.87,21929670693.0,27238.78
2023-06-05,27123.11,27129.98,25445.17,21513292646.0,25760.1
2023-06-04,27075.12,27407.02,26968.22,9360912318.0,27119.07
2023-06-03,27252.32,27317.05,26958.0,8385597470.0,27075.13
2023-06-02,26824.56,27303.86,26574.64,14837415000.0,27249.59
2023-06-01,27218.41,27346.11,26671.72,14678970415.0,26819.97
2023-05-31,27700.53,27831.68,26866.45,15656371534.0,27219.66
2023-05-30,27745.12,28044.76,27588.5,13251081851.0,27702.35
2023-05-29,28075.59,28432.04,27563.88,15181308984.0,27745.88
2023-05-28,26871.16,28193.45,26802.75,14545229578.0,28085.65
2023-05-27,26720.18,26888.88,26621.14,7892015141.0,26868.35
2023-05-26,26474.18,26916.67,26343.95,12711619225.0,26719.29
2023-05-25,26329.46,26591.52,25890.59,13851122697.0,26476.21
2023-05-24,27224.6,27224.6,26106.58,16299104428.0,26334.82
2023-05-23,26855.96,27434.68,26816.18,13697203143.0,27225.73
2023-05-22,26749.89,27045.73,26549.73,11056770492.0,26851.28
2023-05-21,27118.42,27265.92,26706.92,8647416921.0,26753.83
2023-05-20,26888.84,27155.16,26843.28,7044911360.0,27129.59
2023-05-19,26826.75,27128.62,26700.21,11258983301.0,26890.13
2023-05-18,27401.65,27466.53,26415.1,15222938600.0,26832.21
2023-05-17,27035.47,27465.93,26600.14,15140006925.0,27398.8
2023-05-16,27171.51,27299.3,26878.95,12732238816.0,27036.65
2023-05-15,26931.38,27646.35,26766.1,14413231792.0,27192.69
2023-05-14,26788.97,27150.98,26661.36,10014858959.0,26930.64
2023-05-13,26807.77,27030.48,26710.87,9999171605.0,26784.08
2023-05-12,26987.66,27055.65,25878.43,19313599897.0,26804.99
2023-05-11,27621.09,27621.94,26781.83,16724343943.0,27000.79
2023-05-10,27654.64,28322.69,26883.67,20656025026.0,27621.76
2023-05-09,27695.07,27821.4,27375.6,14128593256.0,27658.78
2023-05-08,28450.46,28663.27,27310.13,19122903752.0,27694.27
2023-05-07,28901.62,29157.52,28441.37,11301355486.0,28454.98
2023-05-06,29538.86,29820.13,28468.97,15913866714.0,28904.62
2023-05-05,28851.48,29668.91,28845.51,17936566518.0,29534.38
2023-05-04,29031.3,29353.19,28694.04,15548678514.0,28847.71
2023-05-03,28680.49,29259.53,28178.39,19122972518.0,29006.31
2023-05-02,28087.18,28881.3,27924.12,16432924527.0,28680.54
2023-05-01,29227.1,29329.94,27680.79,18655599976.0,28091.57
2023-04-30,29245.52,29952.03,29114.02,14652199272.0,29268.81
2023-04-29,29336.57,29452.46,29088.04,10662634333.0,29248.49
2023-04-28,29481.01,29572.79,28929.61,17544464887.0,29340.26
2023-04-27,28428.46,29871.55,28402.89,27153445027.0,29473.79
2023-04-26,28300.06,29995.84,27324.55,31854242019.0,28422.7
2023-04-25,27514.87,28371.08,27207.93,17733373139.0,28307.6
2023-04-24,27591.73,27979.98,27070.85,17703288330.0,27525.34
2023-04-23,27816.14,27820.24,27400.31,12785446832.0,27591.38
2023-04-22,27265.89,27872.14,27169.57,13125734602.0,27817.5
2023-04-21,28249.23,28349.97,27177.37,20759504330.0,27276.91
2023-04-20,28823.68,29076.4,28037.26,21340360360.0,28245.99
2023-04-19,30394.19,30411.05,28669.9,24571565421.0,28822.68
2023-04-18,29449.09,30470.3,29154.85,19480529496.0,30397.55
2023-04-17,30317.15,30319.2,29275.37,17872186762.0,29445.04
2023-04-16,30315.98,30555.54,30157.83,12854816417.0,30315.36
2023-04-15,30490.75,30601.74,30245.88,11940685378.0,30318.5
2023-04-14,30409.56,31005.61,30044.5,22659995079.0,30485.7
2023-04-13,29892.74,30539.85,29878.62,17487721001.0,30399.07
2023-04-12,30231.58,30462.48,29725.57,18651929926.0,30139.05
2023-04-11,29653.68,30509.08,29609.3,20121259843.0,30235.06
2023-04-10,28336.03,29771.46,28189.27,19282400094.0,29652.98
2023-04-09,27952.37,28532.83,27828.48,12175322951.0,28333.05
2023-04-08,27920.51,28159.86,27883.39,9373255556.0,27947.79
2023-04-07,28038.97,28111.59,27794.03,10861680497.0,27925.86
2023-04-06,28175.23,28178.38,27738.76,13837809380.0,28044.14
2023-04-05,28169.73,28739.24,27843.76,17052315986.0,28177.98
2023-04-04,27795.27,28433.74,27681.3,15284538859.0,28168.09
2023-04-03,28183.08,28475.62,27276.72,19556501327.0,27790.22
2023-04-02,28462.85,28518.96,27884.09,12284641999.0,28199.31
2023-04-01,28473.33,28802.46,28297.17,10876469901.0,28411.04
2023-03-31,28032.26,28639.9,27583.71,19001327598.0,28478.48
2023-03-30,28350.14,29159.9,27720.16,22435349951.0,28033.56
2023-03-29,27267.03,28619.54,27259.66,20684945906.0,28348.44
2023-03-28,27132.89,27460.72,26677.82,17783600385.0,27268.13
2023-03-27,27994.07,28037.93,26606.69,18188895178.0,27139.89
2023-03-26,27495.52,28178.14,27445.05,13878363192.0,27994.33
2023-03-25,27487.34,27791.83,27196.23,13383005987.0,27494.71
2023-03-24,28324.11,28388.44,27039.27,25980310960.0,27493.29
2023-03-23,27301.96,28729.84,27183.36,24220433689.0,28333.97
2023-03-22,28158.72,28803.34,26760.0,33382021890.0,27307.44
2023-03-21,27768.39,28439.56,27439.65,36102192830.0,28175.82
2023-03-20,28041.6,28527.72,27242.88,44774027664.0,27767.24
2023-03-19,26969.5,28440.56,26907.72,37769448859.0,28038.68
2023-03-18,27448.12,27725.95,26636.26,35723036817.0,26965.88
2023-03-17,25055.12,27787.81,24955.17,50730261335.0,27423.93
2023-03-16,24373.46,25190.33,24225.11,33866061747.0,25052.79
2023-03-15,24770.93,25240.62,23964.91,43655701450.0,24375.96
2023-03-14,24201.77,26514.72,24081.18,54622230164.0,24746.07
2023-03-13,22156.41,24550.84,21918.2,49466362688.0,24197.53
2023-03-12,20628.03,22185.03,20448.81,29279035521.0,22163.95
2023-03-11,20187.88,20792.53,20068.66,30180288176.0,20632.41
2023-03-10,20367.0,20370.6,19628.25,39578257695.0,20187.24
2023-03-09,21720.08,21802.72,20210.31,30364664171.0,20363.02
2023-03-08,22216.44,22268.9,21708.05,22536575684.0,21718.08
2023-03-07,22428.32,22527.42,22011.26,22765452204.0,22219.77
2023-03-06,22436.82,22584.29,22331.31,17353192895.0,22429.76
2023-03-05,22354.14,22613.69,22307.14,13317001733.0,22435.51
2023-03-04,22362.92,22405.18,22198.98,11166012913.0,22353.35
2023-03-03,23476.63,23479.35,22213.24,26062404610.0,22362.68
2023-03-02,23647.02,23739.14,23245.02,20386398516.0,23475.47
2023-03-01,23150.93,23880.63,23088.63,24662841200.0,23646.55
2023-02-28,23521.84,23585.38,23077.65,20535363434.0,23147.35
2023-02-27,23561.45,23857.89,23205.88,22660763494.0,23522.87
2023-02-26,23174.15,23654.37,23084.22,16644534842.0,23561.21
2023-02-25,23200.13,23210.21,22861.56,16100721565.0,23175.38
2023-02-24,23946.01,24103.71,23007.07,26811744928.0,23198.13
2023-02-23,24190.72,24572.09,23693.92,30476264066.0,23947.49
2023-02-22,24437.42,24472.34,23644.32,30199996781.0,24188.84
2023-02-21,24833.05,25126.85,24200.36,31252098714.0,24436.35
2023-02-20,24336.62,25020.46,23927.91,28987376573.0,24829.15
2023-02-19,24640.03,25093.05,24327.64,25555105670.0,24327.64
2023-02-18,24565.3,24798.84,24468.37,19625427158.0,24641.28
